score_max_nrmse,alpha,beta,delta,rho,gamma,sigma_eps,nu,ti_converged,ti_k_oob_frac,ti_a_oob_frac,nn_k_oob_frac,nn_a_oob_frac,mean_nrmse,nrmse_c,nrmse_k,nrmse_y,nrmse_i,nrmse_A,nrmse_n
0.13140749453098263,0.37661528539202255,0.9626388921729027,0.13426700245190196,0.9111095522748942,1.9604944044339745,0.013858084628944497,1.3779458992014466,true,0.0,0.0,0.0,0.0,0.058867084699314176,0.0313597883733196,0.13140749453098263,0.059746515870295926,0.08975174690039486,0.0,0.04093696252089208
0.12624015641826894,0.2543412472751846,0.9149221883117985,0.09900543655750371,0.8509150375293495,1.980052135058311,0.0313493750464515,0.7003025317953282,true,0.0,0.0,0.0,0.0,0.04649986450450055,0.02785356040970552,0.12624015641826894,0.04201801350846546,0.06476704645915517,0.0,0.018120410231408222
0.12137241894523236,0.4490276909114212,0.9733349862311351,0.14818870791126146,0.9413609385209629,2.1490273425680995,0.03405867843492864,1.5409204329118913,true,0.0,0.0,0.0,0.0,0.056004094800255144,0.029657451383332797,0.12137241894523236,0.059490125298104386,0.08595902925582256,0.0,0.039545543919038764
0.12009734584304255,0.40392839993268814,0.9159925561592659,0.04654756904498521,0.903708535843159,3.719172224754854,0.026941013966772343,0.653607796667784,true,0.0,0.0,0.0,0.0,0.055588853862293446,0.04675936646014062,0.12009734584304255,0.04973047879706835,0.06464998636745824,0.0,0.052295945706050916
0.11643418396909697,0.29066233160461064,0.9091984145839884,0.11361333273374284,0.94302558702177,2.507667348640237,0.018291492713965986,0.91489616926245,true,0.0,0.0,0.0,0.0,0.044838724320553504,0.02182743936519939,0.11643418396909697,0.03774327913778507,0.07990761836554487,0.0,0.013119825085694701
0.1127312981775116,0.37424623116909433,0.9153573363362154,0.02552035916554677,0.9603878855585168,0.6131207814047792,0.033189782001138195,1.2323830369379851,true,0.0,0.0,0.0,0.0,0.05649346309506267,0.05102584120960546,0.1127312981775116,0.047670958827493226,0.06794913912973873,0.0,0.059583541226026986
0.11268423292658591,0.37033992773306923,0.9536469445295874,0.07023700816104447,0.9696238670826931,0.5821393294833483,0.028936273746474568,1.8084622137971893,true,0.0,0.0,0.0,0.0,0.06142723442849132,0.04445135695874561,0.10132208003876284,0.047109500536802615,0.11268423292658591,0.0,0.06299623611005095
0.10778985124454034,0.3918465757693613,0.9589951793159854,0.1272488977683358,0.9686126117124431,1.389819412941147,0.01693717237473878,1.3089788880945996,true,0.0,0.0,0.0,0.0,0.05731700280768886,0.026204810332089743,0.10778985124454034,0.049759184250973476,0.09346610162521393,0.0,0.0666820693933156
0.10384246484812872,0.22007031896915252,0.9664791307294164,0.03901350843045959,0.8869938665341902,1.2009471246447418,0.009903543626220111,1.3108495675307528,true,0.0,0.0,0.0,0.0,0.046672388017172974,0.030843093280303602,0.10384246484812872,0.030848911516388557,0.05058565330154966,0.0,0.06391420515666733
0.10187121735423417,0.3159024360812286,0.9642272330237587,0.046770238233272296,0.9314677279342704,0.8169290747622322,0.019015137531727382,0.6817212807771904,true,0.0,0.005,0.0,0.005,0.05801344821136756,0.03499149476817165,0.10187121735423417,0.03888677108042544,0.08996564506272767,0.0,0.08236556100264646
